Date,Name,Unnamed: 2,Venue,Country,Cat.,Discipline,Competition Group,Unnamed: 8
08 SEP 2024,Memorial Borisa Hanžekovića,,"Sports Park Mladost, Zagreb (CRO)",CRO,A,Track and Field,World Athletics Continental Tour – Gold,
09 JUL 2024,Gyulai István Memorial - Hungarian Athletics Grand Prix,,"Bregyó Athletic Center, Székesfehérvár (HUN)",HUN,A,Track and Field,World Athletics Continental Tour – Gold,
07 JUL 2024,FBK Games,,"FBK Stadium, Hengelo (NED)",NED,A,Track and Field,World Athletics Continental Tour – Gold,
07 JUL 2024,FBK Games,,"FBK Stadium, Hengelo (NED)",NED,A,Track and Field,,
20 JUN 2024,6th Irena Szewińska Memorial,,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",POL,A,Track and Field,World Athletics Continental Tour – Gold,
18 JUN 2024,Paavo Nurmi Games,,"Paavo Nurmen Stadion, Turku (FIN)",FIN,A,Track and Field,World Athletics Continental Tour – Gold,
09 JUN 2024,USATF New York City Grand Prix,,"Icahn Stadium, New York, NY (USA)",USA,A,Track and Field,World Athletics Continental Tour – Gold,
28 MAY 2024,63rd Ostrava Golden Spike,,"Mestský Stadion, Ostrava (CZE)",CZE,A,Track and Field,World Athletics Continental Tour – Gold,Result
20–21 MAY 2024,Asian Relays,,"Supachalasai National Stadium, Bangkok (THA)",THA,A,Track and Field,,Result
19 MAY 2024,Seiko Golden Grand Prix,,"National Stadium, Tokyo (JPN)",JPN,A,Track and Field,World Athletics Continental Tour – Gold,Result
17–18 MAY 2024,USATF Los Angeles Grand Prix,,"Drake Stadium, Los Angeles, CA (USA)",USA,A,Track and Field,World Athletics Continental Tour – Gold,Result
20 APR 2024,Kip Keino Classic,,"Nyayo National Stadium, Nairobi (KEN)",KEN,A,Track and Field,World Athletics Continental Tour – Gold,Result
18–22 MAR 2024,African Games,,"University of Ghana Sports Stadium, Accra (GHA)",GHA,A,"Combined Events, Road Running, Race Walking, Track and Field",Area Senior Games,Result
16 MAR 2024,43rd Dudinska 50,,Dudince (SVK),SVK,A,"Race Walking, Track and Field",World Athletics Race Walking Tour – Gold,Result
03–09 MAR 2024,Chinese Race Walking Grand Prix,,Taicang (CHN),CHN,A,"Race Walking, Track and Field",World Athletics Race Walking Tour – Gold,Result
23 FEB 2024,World Indoor Tour Gold Madrid 2024,,"Gallur, Madrid (ESP)",ESP,A,Track and Field,World Athletics Indoor Tour – Gold,Result
17–19 FEB 2024,11th Asian Indoor Athletics Championships,,"Aftab Enghelab Sport Complex, Tehran (IRI)",IRI,A,"Combined Events, Track and Field",Area Indoor Championships,Result
15 FEB 2024,Maurie Plant Meet,,"Lakeside Stadium, Melbourne (AUS)",AUS,A,Track and Field,World Athletics Continental Tour – Gold,Result
10 FEB 2024,Meeting Hauts-de-France Pas-de-Calais Trophée EDF,,"Arena Stade Couvert, Liévin (FRA)",FRA,A,Track and Field,World Athletics Indoor Tour – Gold,Result
09–11 FEB 2024,Millrose Games,,"Armory Track&Field Center, New York, NY (USA)",USA,A,Track and Field,World Athletics Indoor Tour – Gold,Result
06 FEB 2024,ORLEN Copernicus Cup,,"Arena, Toruń (POL)",POL,A,Track and Field,World Athletics Indoor Tour – Gold,Result
03–04 FEB 2024,New Balance Indoor Grand Prix,,"The Track at New Balance, Boston, MA (USA)",USA,A,Track and Field,World Athletics Indoor Tour – Gold,Result
30 JAN 2024,Czech Indoor Gala,,"Atletická hala, Ostrava (CZE)",CZE,A,Track and Field,World Athletics Indoor Tour – Gold,Result
27–28 JAN 2024,South American Indoor Championships,,"Gobierno Autónomo Municipal de Cochabamba, Cochabamba (BOL)",BOL,A,"Combined Events, Track and Field",Area Indoor Championships,Result
27 JAN 2024,Astana Indoor Meet for Amin Tuyakov Prizes,,"Track & Field complex QAZAQSTAN, Astana (KAZ)",KAZ,A,Track and Field,World Athletics Indoor Tour – Gold,Result
